time,open,high,low,close,Volume
2025-05-25T00:15:00+03:00,177.32,177.42,176.31,176.72,22864.08
2025-05-25T00:30:00+03:00,176.73,177.18,176.59,177.01,16931.949
2025-05-25T00:45:00+03:00,177.01,177.54,176.89,177.33,13230.533
2025-05-25T01:00:00+03:00,177.33,177.34,176.57,176.89,22106.961
2025-05-25T01:15:00+03:00,176.89,177.05,175.93,176.31,23832.154
2025-05-25T01:30:00+03:00,176.32,176.4,175.86,176.2,17186.538
2025-05-25T01:45:00+03:00,176.2,176.54,175.93,176.12,17465.207
2025-05-25T02:00:00+03:00,176.12,176.23,175.44,176.02,24741.767
2025-05-25T02:15:00+03:00,176.02,176.48,175.77,176.15,28157.667
2025-05-25T02:30:00+03:00,176.15,176.51,175.55,175.55,23322.201
2025-05-25T02:45:00+03:00,175.54,176.09,175.35,175.87,20086.144
2025-05-25T03:00:00+03:00,175.87,176.88,175.85,176.41,28862.272
2025-05-25T03:15:00+03:00,176.41,176.41,175.61,176.28,22840.44
2025-05-25T03:30:00+03:00,176.28,176.45,173.15,173.49,89866.033
2025-05-25T03:45:00+03:00,173.5,173.92,171.71,172.31,108913.129
2025-05-25T04:00:00+03:00,172.3,172.31,170.85,171.31,84575.769
2025-05-25T04:15:00+03:00,171.3,172.71,170.66,171.97,55864.841
2025-05-25T04:30:00+03:00,171.98,172.59,171.74,172.45,25350.404
2025-05-25T04:45:00+03:00,172.45,172.45,171.45,171.54,21186.259
2025-05-25T05:00:00+03:00,171.55,171.9,170.84,171.18,29453.392
2025-05-25T05:15:00+03:00,171.18,172.15,170.36,171.95,36785.183
2025-05-25T05:30:00+03:00,171.96,172.41,171.74,171.74,25901.589
2025-05-25T05:45:00+03:00,171.75,172.66,171.7,172.39,27293.5
2025-05-25T06:00:00+03:00,172.38,173.24,172.28,173.19,28463.143
2025-05-25T06:15:00+03:00,173.19,173.49,172.74,173.37,24415.54
2025-05-25T06:30:00+03:00,173.37,173.86,173.36,173.67,29576.285
2025-05-25T06:45:00+03:00,173.67,174.02,173.54,173.64,16599.357
2025-05-25T07:00:00+03:00,173.64,173.64,172.77,172.81,17406.82
2025-05-25T07:15:00+03:00,172.81,173.2,172.64,172.87,20774.122
2025-05-25T07:30:00+03:00,172.88,173.71,172.85,173.47,13382.66
2025-05-25T07:45:00+03:00,173.48,174.36,173.26,174.32,15451.904
2025-05-25T08:00:00+03:00,174.32,174.41,174,174.12,17236.922
2025-05-25T08:15:00+03:00,174.13,174.36,173.62,173.98,16882.602
2025-05-25T08:30:00+03:00,173.98,174.36,173.38,173.55,12204.693
2025-05-25T08:45:00+03:00,173.55,174.26,173.49,174.02,13934.607
